	Open	High	Low	Close	Volume	TradingDate	Code
2221	7100.0	7320.0	6700.0	6920.0	541600	2016-12-13	LSS
2222	6920.0	7380.0	6890.0	7380.0	269310	2016-12-14	LSS
2223	7380.0	7380.0	7100.0	7250.0	168770	2016-12-15	LSS
2224	7250.0	7320.0	7190.0	7250.0	110910	2016-12-16	LSS
2225	7750.0	7750.0	7750.0	7750.0	191520	2016-12-19	LSS
2226	8270.0	8270.0	7990.0	8210.0	845670	2016-12-20	LSS
2227	8180.0	8240.0	7990.0	7990.0	246410	2016-12-21	LSS
2228	7990.0	8050.0	7690.0	7690.0	165040	2016-12-22	LSS
2229	7690.0	7870.0	7440.0	7650.0	205530	2016-12-23	LSS
2230	7650.0	7870.0	7650.0	7690.0	131100	2016-12-26	LSS
2231	7690.0	7750.0	7560.0	7560.0	209720	2016-12-27	LSS
2232	7690.0	7690.0	7070.0	7070.0	290970	2016-12-28	LSS
2233	7450.0	7550.0	7010.0	7010.0	391370	2016-12-29	LSS
2234	7480.0	7480.0	7390.0	7480.0	617530	2016-12-30	LSS
2235	7480.0	7800.0	7480.0	7580.0	168320	2017-01-03	LSS
2236	7710.0	8030.0	7640.0	7800.0	248700	2017-01-04	LSS
2237	7800.0	8280.0	7770.0	8090.0	440500	2017-01-05	LSS
2238	8150.0	8410.0	8060.0	8060.0	724040	2017-01-06	LSS
2239	8060.0	8280.0	7960.0	8090.0	114420	2017-01-09	LSS
2240	8150.0	8150.0	7960.0	8120.0	96520	2017-01-10	LSS
2241	8190.0	8280.0	8090.0	8120.0	170610	2017-01-11	LSS
2242	8120.0	8190.0	8090.0	8120.0	201610	2017-01-12	LSS
2243	8150.0	8340.0	8120.0	8280.0	360110	2017-01-13	LSS
2244	8280.0	8410.0	8120.0	8120.0	142230	2017-01-16	LSS
2245	8090.0	8190.0	7990.0	8120.0	109090	2017-01-17	LSS
2246	8090.0	8120.0	7930.0	7960.0	282200	2017-01-18	LSS
2247	7960.0	8090.0	7960.0	7960.0	370280	2017-01-19	LSS
2248	8120.0	8120.0	7830.0	7830.0	410560	2017-01-20	LSS
2249	7830.0	8030.0	7830.0	8030.0	184680	2017-01-23	LSS
2250	8030.0	8060.0	7830.0	7830.0	197720	2017-01-24	LSS
2251	7830.0	8030.0	7830.0	8030.0	41350	2017-01-25	LSS
2252	8150.0	8410.0	8150.0	8340.0	571140	2017-02-02	LSS
2253	8410.0	8500.0	8150.0	8190.0	410710	2017-02-03	LSS
2254	8190.0	8470.0	8190.0	8380.0	437970	2017-02-06	LSS
2255	8410.0	8690.0	8380.0	8660.0	556820	2017-02-07	LSS
2256	8660.0	8820.0	8540.0	8730.0	423970	2017-02-08	LSS
2257	8660.0	8890.0	8660.0	8690.0	507990	2017-02-09	LSS
2258	8690.0	8790.0	8630.0	8630.0	331090	2017-02-10	LSS
2259	8630.0	8760.0	8540.0	8630.0	375600	2017-02-13	LSS
2260	8600.0	8600.0	8380.0	8380.0	741010	2017-02-14	LSS
2261	8410.0	8630.0	8410.0	8570.0	482370	2017-02-15	LSS
2262	8540.0	8660.0	8340.0	8340.0	288700	2017-02-16	LSS
2263	8410.0	8470.0	8280.0	8340.0	389560	2017-02-17	LSS
2264	8440.0	8570.0	8380.0	8570.0	639880	2017-02-20	LSS
2265	8600.0	9080.0	8570.0	8850.0	894400	2017-02-21	LSS
2266	8980.0	9140.0	8850.0	8950.0	571920	2017-02-22	LSS
2267	8950.0	9010.0	8660.0	8820.0	343520	2017-02-23	LSS
2268	8820.0	8890.0	8540.0	8660.0	431810	2017-02-24	LSS
2269	8600.0	8760.0	8340.0	8440.0	375650	2017-02-27	LSS
2270	8540.0	8760.0	8470.0	8470.0	306620	2017-02-28	LSS
2271	8600.0	8660.0	8470.0	8500.0	272480	2017-03-01	LSS
2272	8540.0	8600.0	8470.0	8500.0	229440	2017-03-02	LSS
2273	8500.0	8500.0	8340.0	8470.0	306950	2017-03-03	LSS
2274	8470.0	8470.0	8310.0	8340.0	342040	2017-03-06	LSS
2275	8340.0	8600.0	8280.0	8470.0	414010	2017-03-07	LSS
